id,name,text,trans
0000000000000,__narration__,～H.I.F優勝ライブ直後～,～H.I.F夺冠演唱会结束后～
0000000000000,愁佳,う゛わぁ～～～～～～～～～～ん！！\n『H.I.F』よかったよぉ～～～！！,呜哇啊啊啊啊啊啊～～～！！\nH.I.F太棒了～！！！
0000000000000,愁佳,涙が止まらん……明日ライブなのに……\n結局最後まで観ちゃった……\nはぁっ……最高……,眼泪停不下来……明明明天还有演唱会的……\n结果还是看到了最后……哈啊……太棒了……
0000000000000,おぼろ,なんて素敵な『<r\=プリマステラ>一番星</r>』……\n私たちも負けてはいられないのです。,多么精彩的『<r\=プリマステラ>启明星</r>』……\n我们也不能输。
0000000000000,？？？,――静かに。,——安静。
0000000000000,愁佳,ひぃぃっ！？　芹菜先輩！？\nい、いいい、いつの間に\nご帰国されて！？,咿咿！？芹菜前辈！？\n您、您您您是什么时候\n回国的！？
0000000000000,芹菜,まだライブの余韻を味わっている\nファンがいるでしょう……？,还有人在回味演唱会的余韵吧……？
0000000000000,愁佳,イヤここ舞台袖～……\nあっ、なんでもないです……\n存分に余韻をご堪能ください……,不对，这里是舞台侧幕～……\n啊，没什么……\n请您尽情享受余韵吧……
0000000000000,芹菜,愁佳、MCで私の悪口\n言ってたらしいね？,愁佳，听说你在MC环节说我坏话了？
0000000000000,愁佳,とんでもございません！！！！\n<r\=いにしえ>古</r>の『<r\=プリマステラ>一番星</r>』の悪口なんて！　\n決して……！,没有的事！！！！\n我怎么会说<r\=いにしえ>古</r>之『<r\=プリマステラ>启明星</r>』的坏话！\n绝不会……！
0000000000000,おぼろ,いまのは悪口では？,刚才那句不就是坏话吗？
0000000000000,愁佳,敬意100パーセントです！！　\nホラ見て！　この可愛いお顔とお目々！,这是100%的敬意！！\n快看着我！这张可爱的脸和这双眼睛！
0000000000000,愁佳,うひゃ！？　んも～、\nすぐ髪の毛クシャッってしてくる～！,呀！？真是的～，\n马上就把我的头发揉得乱蓬蓬的～！
0000000000000,芹菜,……見て。,……看着我。
0000000000000,芹菜,あの子が、最先端の『<r\=プリマステラ>一番星</r>』。,那个孩子，就是最新锐的『<r\=プリマステラ>启明星</r>』。
0000000000000,おぼろ,<em\=>例の企画</em>、楽しみですね。,<em\=>那个企划</em>，真是令人期待呢。
0000000000000,芹菜,………………………………………………,………………………………………………
0000000000000,芹菜,――紫雲清夏。,——紫云清夏。
0000000000000,芹菜,100プロで、待ってるよ。,在100プロ等你哦。
0000000000000,？？？,あれが……初星学園の『<r\=プリマステラ>一番星</r>』。,那就是……初星学园的『<r\=プリマステラ>启明星</r>』。
0000000000000,？？？,早くお会いしたいです。,真想快点见到您。
0000000000000,？？？,これから、よろしくお願いします――,今后，请多关照——
0000000000000,？？？,{user}さん。,{user}。
info,adv_dear_ssmk_037-01.txt,,
译者,deepseek-v4-flash,,
