id,name,text,trans
0000000000000,咲季,プロデューサー！　準備はいいかしら？,制作人！　准备好了吗？
0000000000000,咲季,冬の『H.I.F』に向けた\nミーティングをするわよ！,为了冬季的『H.I.F』，\n要进行会议了哦！
0000000000000,{user},もちろんです、咲季さん。\nさっそくはじめましょう。,当然了，咲季小姐。\n我们马上开始吧。
0000000000000,咲季,まずはここまでのおさらい。,首先回顾一下到目前为止的情况。
0000000000000,咲季,夏の『H.I.F』で、\nわたしは佑芽に敗北した。,在夏季的『H.I.F』中，\n我输给了佑芽。
0000000000000,咲季,花海佑芽は、ついに花海咲季を\n追い越して――,花海佑芽终于超越了花海咲季――
0000000000000,咲季,本物のアイドルになった。,成为了一名真正的偶像。
0000000000000,咲季,十王星南さえも撃破して……\n学園一のアイドル、\n『<r\=プリマステラ>一番星</r>』になった。,甚至击破了十王星南……\n成为了学园第一的偶像，\n『<r\=プリマステラ>一番星</r>』。
0000000000000,{user},現在、花海佑芽さんは\n世界中のアイドルファンから、\nこう認識されているようです。,现在，花海佑芽小姐似乎被\n全世界的偶像粉丝们\n这样认识。
0000000000000,{user},トップアイドルの領域に\n足を踏み入れたと。,说她已经踏入了\n顶尖偶像的领域。
0000000000000,咲季,えへへ～♡　自慢の妹よ！　\n佑芽……本当にすごい……,诶嘿嘿～♡　我引以为傲的妹妹啊！　\n佑芽……真是太厉害了……
0000000000000,咲季,けどね、あの子が羽ばたいていくのを、\n黙って見ているなんてできないわ。,但是呢，我不能眼睁睁地看着\n那孩子展翅高飞。
0000000000000,咲季,わたしはあの子の、お姉ちゃんで……,我是那孩子的姐姐……
0000000000000,咲季,ライバルだもの！,也是她的对手！
0000000000000,{user},従来のプランをすべて破棄し、\nもう一度挑むために、\n準備をしてきましたね。,我们废除了过去所有的计划，\n为了重新挑战，\n做好了准备呢。
0000000000000,星南,プロジェクト『<r\=スターダスト>星屑</r>』を発動するわ！,启动计划『<r\=スターダスト>星屑</r>』！
0000000000000,咲季,星南や燐羽と同盟を組んで……,和星南还有燐羽结成同盟……
